<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
AFLT,60,03/01/20,11:00:00,103.3200000,103.8200000,103.1200000,103.5200000
AFLT,60,03/01/20,12:00:00,103.6000000,103.8400000,103.3200000,103.3800000
AFLT,60,03/01/20,13:00:00,103.3800000,103.8000000,103.3200000,103.7000000
AFLT,60,03/01/20,14:00:00,103.7000000,103.9000000,103.6000000,103.8600000
AFLT,60,03/01/20,15:00:00,103.8600000,103.8600000,103.5800000,103.6800000
AFLT,60,03/01/20,16:00:00,103.6800000,103.6800000,103.4800000,103.5800000
AFLT,60,03/01/20,17:00:00,103.5800000,103.7600000,103.5000000,103.5200000
AFLT,60,03/01/20,18:00:00,103.5000000,103.6600000,103.4800000,103.5600000
AFLT,60,03/01/20,19:00:00,103.5000000,103.5800000,103.3400000,103.3400000
AFLT,60,06/01/20,11:00:00,103.2400000,103.5200000,103.0000000,103.4400000
AFLT,60,06/01/20,12:00:00,103.3600000,103.4600000,103.2000000,103.3600000
AFLT,60,06/01/20,13:00:00,103.3200000,103.4800000,103.2400000,103.3000000
AFLT,60,06/01/20,14:00:00,103.3800000,103.5800000,103.3000000,103.5200000
AFLT,60,06/01/20,15:00:00,103.5200000,103.6400000,103.4600000,103.6400000
AFLT,60,06/01/20,16:00:00,103.6000000,103.8000000,103.4800000,103.5000000
AFLT,60,06/01/20,17:00:00,103.5000000,103.6200000,103.3600000,103.4600000
AFLT,60,06/01/20,18:00:00,103.4600000,103.7800000,103.4400000,103.6200000
AFLT,60,06/01/20,19:00:00,103.6200000,103.6400000,103.5000000,103.5200000
AFLT,60,08/01/20,11:00:00,103.0600000,103.6800000,102.4200000,103.2400000
AFLT,60,08/01/20,12:00:00,103.2000000,103.5800000,102.8000000,103.0400000
AFLT,60,08/01/20,13:00:00,103.0200000,103.3000000,102.9600000,103.2600000
AFLT,60,08/01/20,14:00:00,103.2200000,103.4000000,103.2200000,103.3000000
AFLT,60,08/01/20,15:00:00,103.2400000,103.4200000,103.0600000,103.2800000
AFLT,60,08/01/20,16:00:00,103.2800000,103.3000000,103.0000000,103.0800000
AFLT,60,08/01/20,17:00:00,103.0800000,103.1200000,103.0000000,103.1000000
AFLT,60,08/01/20,18:00:00,103.1000000,103.1200000,103.0400000,103.0800000
AFLT,60,08/01/20,19:00:00,103.0800000,103.0800000,102.8800000,102.8800000
AFLT,60,09/01/20,11:00:00,103.3400000,105.1800000,103.1400000,104.5800000
AFLT,60,09/01/20,12:00:00,104.6000000,104.7400000,104.0000000,104.0200000
AFLT,60,09/01/20,13:00:00,104.0400000,104.1400000,104.0000000,104.0000000
AFLT,60,09/01/20,14:00:00,104.0000000,104.4000000,104.0000000,104.0600000
AFLT,60,09/01/20,15:00:00,104.0400000,104.4400000,104.0200000,104.3800000
AFLT,60,09/01/20,16:00:00,104.3800000,104.9200000,104.2000000,104.5800000
AFLT,60,09/01/20,17:00:00,104.5200000,104.7600000,104.5000000,104.6000000
AFLT,60,09/01/20,18:00:00,104.6000000,104.7600000,104.5000000,104.5200000
AFLT,60,09/01/20,19:00:00,104.5200000,104.8200000,104.4400000,104.5000000
AFLT,60,10/01/20,11:00:00,104.7800000,105.8800000,104.6000000,104.9200000
AFLT,60,10/01/20,12:00:00,104.9200000,105.3800000,104.9000000,104.9400000
