<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
BANE,60,03/01/20,11:00:00,1936.5000000,1944.0000000,1936.5000000,1940.5000000
BANE,60,03/01/20,12:00:00,1943.0000000,1945.0000000,1942.0000000,1942.0000000
BANE,60,03/01/20,13:00:00,1941.5000000,1945.0000000,1941.5000000,1945.0000000
BANE,60,03/01/20,14:00:00,1945.0000000,1946.0000000,1945.0000000,1946.0000000
BANE,60,03/01/20,15:00:00,1946.5000000,1946.5000000,1943.5000000,1945.5000000
BANE,60,03/01/20,16:00:00,1945.5000000,1946.5000000,1943.5000000,1944.5000000
BANE,60,03/01/20,17:00:00,1944.0000000,1947.5000000,1944.0000000,1947.0000000
BANE,60,03/01/20,18:00:00,1945.0000000,1947.0000000,1945.0000000,1945.0000000
BANE,60,03/01/20,19:00:00,1947.0000000,1947.5000000,1945.0000000,1945.0000000
BANE,60,06/01/20,11:00:00,1949.5000000,1959.0000000,1943.5000000,1950.5000000
BANE,60,06/01/20,12:00:00,1956.0000000,1957.0000000,1946.0000000,1955.0000000
BANE,60,06/01/20,13:00:00,1956.0000000,1961.5000000,1954.0000000,1960.0000000
BANE,60,06/01/20,14:00:00,1960.0000000,1969.5000000,1958.0000000,1964.5000000
BANE,60,06/01/20,15:00:00,1963.0000000,1968.5000000,1960.0000000,1962.5000000
BANE,60,06/01/20,16:00:00,1962.5000000,1974.0000000,1962.0000000,1973.5000000
BANE,60,06/01/20,17:00:00,1973.5000000,1977.0000000,1972.0000000,1975.0000000
BANE,60,06/01/20,18:00:00,1975.0000000,1976.0000000,1967.0000000,1967.0000000
BANE,60,06/01/20,19:00:00,1967.0000000,1972.0000000,1961.0000000,1967.0000000
BANE,60,08/01/20,11:00:00,1983.0000000,1999.0000000,1962.5000000,1997.5000000
BANE,60,08/01/20,12:00:00,1997.5000000,2021.0000000,1985.0000000,2021.0000000
BANE,60,08/01/20,13:00:00,2020.5000000,2024.5000000,1997.5000000,2004.5000000
BANE,60,08/01/20,14:00:00,2002.0000000,2008.0000000,2000.0000000,2001.5000000
BANE,60,08/01/20,15:00:00,2002.0000000,2006.0000000,2001.5000000,2002.5000000
BANE,60,08/01/20,16:00:00,2002.5000000,2005.0000000,2000.0000000,2002.5000000
BANE,60,08/01/20,17:00:00,2002.5000000,2003.5000000,1990.0000000,1999.5000000
BANE,60,08/01/20,18:00:00,2000.0000000,2009.0000000,1998.0000000,2007.5000000
BANE,60,08/01/20,19:00:00,2007.0000000,2010.0000000,2004.0000000,2009.5000000
BANE,60,09/01/20,11:00:00,2009.5000000,2017.0000000,1987.0000000,1994.5000000
BANE,60,09/01/20,12:00:00,1996.5000000,1999.5000000,1995.0000000,1999.5000000
BANE,60,09/01/20,13:00:00,1998.0000000,2000.0000000,1996.5000000,1997.5000000
BANE,60,09/01/20,14:00:00,1998.0000000,1998.5000000,1996.5000000,1997.5000000
BANE,60,09/01/20,15:00:00,1998.5000000,1998.5000000,1997.0000000,1997.5000000
BANE,60,09/01/20,16:00:00,1998.5000000,1998.5000000,1997.0000000,1998.0000000
BANE,60,09/01/20,17:00:00,1998.0000000,1998.5000000,1996.5000000,1998.0000000
