<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,03/01/20,11:00:00,259.1000000,260.2700000,258.5200000,259.3600000
GAZP,60,03/01/20,12:00:00,259.3600000,261.8600000,259.0400000,261.7500000
GAZP,60,03/01/20,13:00:00,261.8000000,261.9000000,260.9100000,261.5000000
GAZP,60,03/01/20,14:00:00,261.5400000,261.8200000,260.9400000,261.1800000
GAZP,60,03/01/20,15:00:00,261.2000000,261.5700000,259.4300000,259.6900000
GAZP,60,03/01/20,16:00:00,259.6300000,259.6300000,258.3600000,258.7300000
GAZP,60,03/01/20,17:00:00,258.7200000,259.0800000,258.4700000,258.6600000
GAZP,60,03/01/20,18:00:00,258.6600000,259.5500000,257.7700000,259.5000000
GAZP,60,03/01/20,19:00:00,259.4500000,259.5500000,258.5000000,259.0000000
GAZP,60,06/01/20,11:00:00,258.9100000,258.9600000,256.0000000,256.5700000
GAZP,60,06/01/20,12:00:00,256.6600000,257.5600000,256.0100000,256.1600000
GAZP,60,06/01/20,13:00:00,256.1100000,256.4400000,255.4200000,256.0500000
GAZP,60,06/01/20,14:00:00,256.0600000,256.2300000,255.6700000,255.8100000
GAZP,60,06/01/20,15:00:00,255.8700000,256.4300000,255.5500000,256.1100000
GAZP,60,06/01/20,16:00:00,256.1500000,256.1500000,255.0100000,255.0500000
GAZP,60,06/01/20,17:00:00,255.0800000,255.3000000,254.8000000,255.2000000
GAZP,60,06/01/20,18:00:00,255.1700000,255.9900000,254.9500000,255.6900000
GAZP,60,06/01/20,19:00:00,255.7100000,256.5500000,255.6700000,256.5500000
GAZP,60,08/01/20,11:00:00,256.2500000,257.3200000,254.7700000,256.2000000
GAZP,60,08/01/20,12:00:00,256.1700000,256.4000000,255.3000000,255.5100000
GAZP,60,08/01/20,13:00:00,255.3900000,256.0800000,255.1600000,255.2600000
GAZP,60,08/01/20,14:00:00,255.2600000,256.1100000,255.1800000,255.5900000
GAZP,60,08/01/20,15:00:00,255.6100000,255.7000000,255.0400000,255.1000000
GAZP,60,08/01/20,16:00:00,255.1300000,255.7300000,255.0600000,255.2900000
GAZP,60,08/01/20,17:00:00,255.2900000,255.6000000,255.0800000,255.3200000
GAZP,60,08/01/20,18:00:00,255.3200000,255.9500000,255.1700000,255.5900000
GAZP,60,08/01/20,19:00:00,255.5900000,255.7900000,255.2500000,255.7900000
GAZP,60,09/01/20,11:00:00,255.6600000,256.6800000,255.3300000,256.2000000
GAZP,60,09/01/20,12:00:00,256.2000000,256.2000000,253.8000000,254.0100000
GAZP,60,09/01/20,13:00:00,254.0100000,254.1400000,251.8200000,254.0900000
GAZP,60,09/01/20,14:00:00,254.0700000,254.3400000,253.2900000,253.4100000
GAZP,60,09/01/20,15:00:00,253.4500000,254.6800000,253.3900000,254.6300000
GAZP,60,09/01/20,16:00:00,254.6300000,254.9300000,253.9400000,254.1700000
GAZP,60,09/01/20,17:00:00,254.1700000,254.4300000,253.6600000,254.2700000
GAZP,60,09/01/20,18:00:00,254.2200000,254.7300000,253.8100000,254.0300000
GAZP,60,09/01/20,19:00:00,254.0400000,254.6500000,253.8100000,254.0700000
GAZP,60,10/01/20,11:00:00,253.9900000,254.3500000,252.7100000,253.3900000
GAZP,60,10/01/20,12:00:00,253.2800000,253.7200000,252.4200000,253.2300000
GAZP,60,10/01/20,13:00:00,253.1900000,254.6000000,253.0100000,254.0000000
GAZP,60,10/01/20,14:00:00,254.0000000,254.0000000,252.8600000,253.0000000
GAZP,60,10/01/20,15:00:00,253.0200000,253.3900000,252.7200000,253.0400000
GAZP,60,10/01/20,16:00:00,253.0200000,253.1500000,252.7200000,252.8000000
GAZP,60,10/01/20,17:00:00,252.8000000,252.8400000,251.8700000,252.5400000
GAZP,60,10/01/20,18:00:00,252.5900000,252.6500000,251.7100000,251.8000000
GAZP,60,10/01/20,19:00:00,251.7600000,252.1300000,251.2000000,251.9000000
GAZP,60,13/01/20,11:00:00,252.5000000,252.5000000,250.7700000,250.8300000
GAZP,60,13/01/20,12:00:00,250.8000000,250.9400000,248.4000000,249.6600000
GAZP,60,13/01/20,13:00:00,249.6600000,250.7900000,249.3500000,250.0500000
GAZP,60,13/01/20,14:00:00,250.0500000,250.2400000,248.5700000,248.7800000
GAZP,60,13/01/20,15:00:00,248.8000000,249.4100000,248.5900000,248.6200000
GAZP,60,13/01/20,16:00:00,248.6100000,249.9600000,248.5500000,249.3400000
GAZP,60,13/01/20,17:00:00,249.3300000,249.9800000,249.0000000,249.7900000
GAZP,60,13/01/20,18:00:00,249.8000000,250.4400000,249.6600000,250.2600000
GAZP,60,13/01/20,19:00:00,250.2600000,251.5000000,249.9300000,251.5000000
GAZP,60,14/01/20,11:00:00,252.0000000,253.2000000,251.2200000,253.0300000
GAZP,60,14/01/20,12:00:00,253.0300000,253.1800000,250.5600000,251.2200000
GAZP,60,14/01/20,13:00:00,251.2100000,251.7400000,250.9100000,251.5000000
GAZP,60,14/01/20,14:00:00,251.4700000,251.6600000,250.8600000,251.3400000
GAZP,60,14/01/20,15:00:00,251.2800000,251.3400000,250.0500000,250.7900000
GAZP,60,14/01/20,16:00:00,250.8000000,250.9500000,249.1300000,249.3800000
GAZP,60,14/01/20,17:00:00,249.3500000,250.1000000,249.0000000,249.9600000
GAZP,60,14/01/20,18:00:00,249.9800000,250.7000000,249.7200000,250.2200000
GAZP,60,14/01/20,19:00:00,250.2200000,250.9800000,249.9800000,250.0000000
GAZP,60,15/01/20,11:00:00,249.5000000,249.8700000,248.7100000,249.3300000
GAZP,60,15/01/20,12:00:00,249.2400000,251.2500000,248.3300000,250.9400000
GAZP,60,15/01/20,13:00:00,250.9000000,251.5000000,250.0000000,250.0700000
GAZP,60,15/01/20,14:00:00,250.0500000,250.4800000,249.2000000,249.2900000
GAZP,60,15/01/20,15:00:00,249.2900000,250.4300000,249.0600000,249.4400000
GAZP,60,15/01/20,16:00:00,249.4000000,249.9500000,249.2000000,249.5100000
GAZP,60,15/01/20,17:00:00,249.4800000,251.0000000,247.7500000,249.8900000
GAZP,60,15/01/20,18:00:00,249.9600000,252.5000000,249.1300000,251.9500000
GAZP,60,15/01/20,19:00:00,251.9200000,252.0000000,250.7100000,251.3000000
GAZP,60,16/01/20,11:00:00,251.8700000,254.4000000,251.5000000,253.4800000
GAZP,60,16/01/20,12:00:00,253.4100000,253.9800000,252.8200000,253.6800000
GAZP,60,16/01/20,13:00:00,253.6300000,253.8000000,252.3000000,252.9000000
GAZP,60,16/01/20,14:00:00,252.9000000,254.3000000,252.6000000,254.0600000
GAZP,60,16/01/20,15:00:00,254.1000000,254.3900000,253.2500000,253.4000000
GAZP,60,16/01/20,16:00:00,253.4300000,254.2400000,253.2700000,253.7900000
GAZP,60,16/01/20,17:00:00,253.8000000,254.5000000,253.4400000,254.0700000
GAZP,60,16/01/20,18:00:00,254.0300000,254.5400000,254.0000000,254.1000000
GAZP,60,16/01/20,19:00:00,254.1200000,254.3000000,254.0000000,254.2600000
GAZP,60,17/01/20,11:00:00,254.7600000,255.6400000,253.8000000,255.4400000
GAZP,60,17/01/20,12:00:00,255.4800000,256.2900000,255.1200000,255.9100000
GAZP,60,17/01/20,13:00:00,255.9800000,256.4900000,255.3900000,256.0500000
GAZP,60,17/01/20,14:00:00,256.0600000,256.6000000,254.1000000,256.1600000
GAZP,60,17/01/20,15:00:00,256.1700000,256.6000000,255.4400000,255.7900000
GAZP,60,17/01/20,16:00:00,255.7400000,255.9700000,254.8700000,255.1300000
GAZP,60,17/01/20,17:00:00,255.0900000,255.3500000,254.8000000,254.9700000
GAZP,60,17/01/20,18:00:00,255.0000000,255.5900000,254.8000000,255.2000000
GAZP,60,17/01/20,19:00:00,255.1900000,255.8700000,254.8400000,255.3900000
GAZP,60,20/01/20,11:00:00,255.6500000,256.1000000,254.1900000,254.7600000
GAZP,60,20/01/20,12:00:00,254.8000000,256.0300000,254.7600000,255.5600000
GAZP,60,20/01/20,13:00:00,255.5900000,255.6600000,254.4400000,254.7300000
GAZP,60,20/01/20,14:00:00,254.7300000,255.0500000,253.8900000,253.9700000
GAZP,60,20/01/20,15:00:00,253.9700000,254.5900000,253.7300000,254.5900000
GAZP,60,20/01/20,16:00:00,254.5700000,254.5900000,254.1000000,254.3800000
GAZP,60,20/01/20,17:00:00,254.3800000,254.4500000,253.7500000,254.0100000
GAZP,60,20/01/20,18:00:00,254.0100000,254.0500000,253.2600000,253.4000000
GAZP,60,20/01/20,19:00:00,253.3900000,254.0900000,253.0100000,253.5000000
GAZP,60,21/01/20,11:00:00,253.3700000,253.4000000,252.0000000,252.2800000
GAZP,60,21/01/20,12:00:00,252.2500000,252.2500000,251.4400000,252.0900000
GAZP,60,21/01/20,13:00:00,252.0900000,252.4800000,251.1900000,251.2400000
GAZP,60,21/01/20,14:00:00,251.2400000,251.7200000,251.0100000,251.2500000
GAZP,60,21/01/20,15:00:00,251.2200000,251.5400000,250.9400000,251.2100000
GAZP,60,21/01/20,16:00:00,251.2100000,251.7700000,251.1500000,251.6300000
GAZP,60,21/01/20,17:00:00,251.6100000,251.9000000,250.8800000,251.3700000
GAZP,60,21/01/20,18:00:00,251.3400000,252.8300000,251.3400000,252.8000000
GAZP,60,21/01/20,19:00:00,252.7500000,252.9900000,252.1600000,252.9900000
GAZP,60,22/01/20,11:00:00,252.8100000,253.3900000,251.5300000,251.6300000
GAZP,60,22/01/20,12:00:00,251.7000000,252.2900000,251.2500000,251.4400000
GAZP,60,22/01/20,13:00:00,251.3700000,251.8400000,250.3800000,250.4900000
GAZP,60,22/01/20,14:00:00,250.4900000,251.1000000,250.0600000,250.5800000
GAZP,60,22/01/20,15:00:00,250.5800000,250.6600000,250.0300000,250.3400000
GAZP,60,22/01/20,16:00:00,250.3200000,250.6000000,250.0800000,250.2300000
GAZP,60,22/01/20,17:00:00,250.2000000,250.4100000,249.4000000,249.6000000
GAZP,60,22/01/20,18:00:00,249.6200000,250.3400000,249.2500000,249.3600000
GAZP,60,22/01/20,19:00:00,249.4000000,249.4100000,248.1000000,248.1000000
GAZP,60,23/01/20,11:00:00,246.9000000,247.6600000,245.0000000,246.8400000
GAZP,60,23/01/20,12:00:00,246.8200000,247.2300000,245.1000000,245.8400000
GAZP,60,23/01/20,13:00:00,245.8300000,246.0300000,245.0000000,245.0600000
GAZP,60,23/01/20,14:00:00,245.0700000,245.3500000,243.5700000,244.1500000
GAZP,60,23/01/20,15:00:00,244.1500000,245.1500000,243.6200000,244.3700000
GAZP,60,23/01/20,16:00:00,244.3300000,244.8900000,243.8500000,244.0600000
GAZP,60,23/01/20,17:00:00,244.0600000,244.3400000,242.5200000,242.6200000
GAZP,60,23/01/20,18:00:00,242.6100000,242.6500000,240.1600000,240.4300000
GAZP,60,23/01/20,19:00:00,240.5200000,240.5600000,239.0100000,239.3000000
GAZP,60,24/01/20,11:00:00,240.1200000,243.2500000,240.1200000,241.0600000
GAZP,60,24/01/20,12:00:00,241.1100000,241.9300000,240.5100000,241.1200000
GAZP,60,24/01/20,13:00:00,241.1700000,241.2800000,240.5200000,240.6400000
GAZP,60,24/01/20,14:00:00,240.6800000,240.6800000,235.2800000,236.1000000
GAZP,60,24/01/20,15:00:00,236.1000000,241.9600000,236.0100000,241.1100000
GAZP,60,24/01/20,16:00:00,241.1900000,242.3700000,239.2200000,239.5000000
GAZP,60,24/01/20,17:00:00,239.5000000,241.5400000,238.8700000,239.9700000
GAZP,60,24/01/20,18:00:00,239.9700000,240.0400000,237.3000000,239.0000000
GAZP,60,24/01/20,19:00:00,239.0000000,239.4000000,237.6000000,237.9500000
GAZP,60,27/01/20,11:00:00,235.0100000,235.4000000,232.1500000,233.8100000
GAZP,60,27/01/20,12:00:00,233.8800000,235.1100000,233.7300000,233.9500000
GAZP,60,27/01/20,13:00:00,233.9400000,234.1000000,232.2000000,232.2000000
GAZP,60,27/01/20,14:00:00,232.2100000,232.3000000,230.1500000,230.7200000
GAZP,60,27/01/20,15:00:00,230.7200000,231.6900000,229.8200000,231.6000000
GAZP,60,27/01/20,16:00:00,231.6000000,231.7400000,230.5800000,230.9800000
GAZP,60,27/01/20,17:00:00,230.9300000,231.0000000,229.9000000,230.2400000
GAZP,60,27/01/20,18:00:00,230.2400000,230.9500000,229.6500000,230.7900000
GAZP,60,27/01/20,19:00:00,230.7900000,232.3100000,230.2700000,230.9600000
GAZP,60,28/01/20,11:00:00,232.6100000,233.6000000,231.3500000,233.0200000
GAZP,60,28/01/20,12:00:00,233.0200000,233.0400000,230.2300000,230.6300000
GAZP,60,28/01/20,13:00:00,230.6100000,232.6100000,229.0000000,231.8400000
GAZP,60,28/01/20,14:00:00,231.8300000,234.9000000,231.4300000,233.8000000
GAZP,60,28/01/20,15:00:00,233.8000000,234.6800000,232.6200000,234.6800000
GAZP,60,28/01/20,16:00:00,234.6400000,237.5900000,234.5000000,236.9600000
GAZP,60,28/01/20,17:00:00,236.9600000,237.2000000,234.8000000,235.0000000
GAZP,60,28/01/20,18:00:00,234.9900000,235.7500000,233.5000000,234.1500000
GAZP,60,28/01/20,19:00:00,234.1800000,235.4900000,234.0000000,235.0000000
GAZP,60,29/01/20,11:00:00,236.9000000,236.9300000,235.0600000,236.4600000
GAZP,60,29/01/20,12:00:00,236.4700000,237.3600000,235.4000000,235.9700000
GAZP,60,29/01/20,13:00:00,235.9700000,236.0300000,235.0000000,235.3400000
GAZP,60,29/01/20,14:00:00,235.3700000,236.6400000,235.1700000,236.0200000
GAZP,60,29/01/20,15:00:00,236.0200000,236.2000000,235.1000000,235.2000000
GAZP,60,29/01/20,16:00:00,235.2100000,235.2400000,233.3100000,233.5700000
GAZP,60,29/01/20,17:00:00,233.6100000,233.9800000,232.1100000,232.9600000
GAZP,60,29/01/20,18:00:00,232.9800000,233.0800000,231.9300000,231.9600000
GAZP,60,29/01/20,19:00:00,231.9600000,232.7300000,231.3000000,232.0000000
GAZP,60,30/01/20,11:00:00,230.7000000,231.3800000,229.4500000,230.3900000
GAZP,60,30/01/20,12:00:00,230.3800000,231.4300000,229.7100000,230.9200000
GAZP,60,30/01/20,13:00:00,230.9100000,231.3700000,230.4300000,231.3600000
GAZP,60,30/01/20,14:00:00,231.3300000,231.3500000,229.8800000,230.7300000
GAZP,60,30/01/20,15:00:00,230.7800000,230.8600000,230.1600000,230.4800000
GAZP,60,30/01/20,16:00:00,230.4800000,231.3800000,230.4000000,230.8900000
GAZP,60,30/01/20,17:00:00,230.8600000,232.4800000,230.8500000,231.6300000
